epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2708.78,1.45169,1.23149,1.39398,0.70131,0.66935,0.72374,0.40973,1.50777,1.14814,1.40851,0.005842,0.005842,0.005842
44,2770.97,1.46338,1.24948,1.39722,0.71312,0.62455,0.70958,0.39627,1.54991,1.17838,1.45083,0.005743,0.005743,0.005743
45,2831.76,1.40447,1.19866,1.3767,0.78135,0.65324,0.74549,0.42315,1.5097,1.14375,1.42278,0.005644,0.005644,0.005644
46,2892.11,1.4363,1.22982,1.39444,0.79153,0.63262,0.73572,0.43352,1.428,1.09933,1.36701,0.005545,0.005545,0.005545
47,2952.18,1.42735,1.22295,1.38284,0.78599,0.64875,0.75118,0.42648,1.50135,1.09185,1.403,0.005446,0.005446,0.005446
48,3012.74,1.42155,1.21008,1.36747,0.74639,0.65412,0.73019,0.41614,1.47161,1.2148,1.39184,0.005347,0.005347,0.005347
49,3072.79,1.43309,1.20534,1.38506,0.73546,0.66935,0.74025,0.416,1.52506,1.12694,1.39006,0.005248,0.005248,0.005248
50,3133.33,1.41695,1.19116,1.37441,0.76257,0.65591,0.73613,0.43223,1.4451,1.12208,1.37491,0.005149,0.005149,0.005149
51,3195.68,1.40807,1.20185,1.37533,0.77459,0.66129,0.73726,0.44038,1.43167,1.12019,1.37904,0.00505,0.00505,0.00505
52,3257.64,1.41204,1.17869,1.36187,0.75502,0.68459,0.74521,0.43219,1.42816,1.12768,1.36853,0.004951,0.004951,0.004951
53,3319.63,1.39662,1.16478,1.36267,0.75705,0.68969,0.76469,0.42873,1.50682,1.10213,1.40166,0.004852,0.004852,0.004852
54,3380.65,1.41242,1.18145,1.37038,0.7623,0.67563,0.74526,0.44348,1.4173,1.10196,1.36316,0.004753,0.004753,0.004753
55,3441.97,1.38806,1.15247,1.34518,0.77812,0.68821,0.77439,0.46015,1.42786,1.03452,1.37722,0.004654,0.004654,0.004654
56,3504.26,1.42402,1.19423,1.37423,0.82169,0.64158,0.76199,0.43844,1.45747,1.07953,1.35611,0.004555,0.004555,0.004555
57,3568.06,1.39197,1.16437,1.35453,0.76788,0.68907,0.76373,0.43876,1.4744,1.0788,1.37943,0.004456,0.004456,0.004456
58,3632.6,1.39341,1.162,1.35944,0.75103,0.65953,0.74631,0.4022,1.56462,1.13029,1.42554,0.004357,0.004357,0.004357
59,3696.13,1.38585,1.15077,1.36097,0.77979,0.67384,0.74798,0.45643,1.39242,1.06298,1.35119,0.004258,0.004258,0.004258
60,3761.13,1.40238,1.15634,1.36051,0.80428,0.67115,0.775,0.43215,1.48399,1.06697,1.37215,0.004159,0.004159,0.004159
61,3824.63,1.37994,1.1318,1.34075,0.7692,0.71373,0.77402,0.4597,1.39869,1.02072,1.35226,0.00406,0.00406,0.00406
62,3886.45,1.36725,1.13007,1.34385,0.79631,0.67958,0.77132,0.46282,1.39423,1.04386,1.34131,0.003961,0.003961,0.003961
63,3948.51,1.35787,1.10356,1.33919,0.77305,0.68981,0.75981,0.44973,1.42974,1.05013,1.3687,0.003862,0.003862,0.003862
64,4008.9,1.38704,1.15919,1.36473,0.76234,0.68011,0.75931,0.45067,1.41837,1.04298,1.34743,0.003763,0.003763,0.003763
65,4069.65,1.34877,1.08057,1.3244,0.75727,0.68772,0.76094,0.45735,1.39286,1.03842,1.34011,0.003664,0.003664,0.003664
66,4132.48,1.36448,1.11655,1.33469,0.77339,0.68728,0.7688,0.44771,1.4515,1.03019,1.36691,0.003565,0.003565,0.003565
67,4195.66,1.36242,1.11394,1.34122,0.76097,0.67324,0.76082,0.45551,1.38991,1.06175,1.35042,0.003466,0.003466,0.003466
68,4256.24,1.35443,1.09816,1.34186,0.80424,0.67742,0.77431,0.46775,1.40255,0.98979,1.35057,0.003367,0.003367,0.003367
69,4316.9,1.3534,1.10757,1.34039,0.79175,0.69624,0.78401,0.476,1.35763,1.0118,1.32817,0.003268,0.003268,0.003268
70,4378.36,1.34047,1.08668,1.3254,0.78668,0.70878,0.78307,0.46978,1.38729,1.01436,1.33146,0.003169,0.003169,0.003169
71,4440.29,1.35765,1.09893,1.3375,0.75885,0.71505,0.77507,0.4702,1.34909,1.02277,1.33312,0.00307,0.00307,0.00307
72,4501.07,1.32578,1.06756,1.31885,0.75439,0.71832,0.77306,0.4691,1.36847,1.00075,1.32238,0.002971,0.002971,0.002971
73,4559.79,1.33073,1.05554,1.306,0.81349,0.6819,0.78933,0.48005,1.36683,0.97366,1.31988,0.002872,0.002872,0.002872
74,4620.5,1.33687,1.09241,1.32819,0.82133,0.67965,0.78174,0.47308,1.36927,0.99747,1.33774,0.002773,0.002773,0.002773
75,4680.88,1.32304,1.05849,1.3165,0.79506,0.70221,0.78418,0.46315,1.39912,1.0124,1.34242,0.002674,0.002674,0.002674
76,4742.19,1.3169,1.04887,1.30413,0.79444,0.70302,0.79326,0.48404,1.34125,0.99044,1.31501,0.002575,0.002575,0.002575
77,4803.09,1.31265,1.06119,1.31448,0.75313,0.72133,0.78654,0.47662,1.36727,0.97327,1.31337,0.002476,0.002476,0.002476
