epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,573.744,1.36854,1.06388,1.32003,0.77984,0.66019,0.73894,0.40858,1.54141,1.09765,1.4032,0.00424039,0.00424039,0.00424039
43,587.053,1.37292,1.08657,1.31627,0.75446,0.67832,0.74805,0.39452,1.62001,1.12383,1.41637,0.00420503,0.00420503,0.00420503
44,600.4,1.3649,1.0644,1.31262,0.80624,0.6525,0.75646,0.39617,1.61159,1.07905,1.43349,0.00416902,0.00416902,0.00416902
45,613.879,1.35011,1.0725,1.31309,0.77985,0.63172,0.73226,0.43142,1.45726,1.11058,1.364,0.00413238,0.00413238,0.00413238
46,627.296,1.35939,1.0515,1.30642,0.76306,0.66948,0.74476,0.41357,1.50287,1.11213,1.36865,0.00409512,0.00409512,0.00409512
47,640.921,1.34997,1.06093,1.30226,0.75821,0.68843,0.74882,0.42149,1.51584,1.06777,1.39459,0.00405726,0.00405726,0.00405726
48,654.642,1.33839,1.04267,1.29173,0.77557,0.69265,0.76347,0.42786,1.4985,1.07248,1.3577,0.0040188,0.0040188,0.0040188
49,668.244,1.31583,1.03672,1.28276,0.7687,0.68792,0.76548,0.43374,1.4757,1.05156,1.36109,0.00397977,0.00397977,0.00397977
50,681.852,1.33788,1.03456,1.29829,0.7688,0.681,0.75774,0.41641,1.56472,1.04285,1.40951,0.00394018,0.00394018,0.00394018
51,695.556,1.31728,1.02902,1.29259,0.72461,0.69086,0.7385,0.42562,1.46216,1.09549,1.38665,0.00390004,0.00390004,0.00390004
52,708.872,1.3288,1.04039,1.28768,0.75031,0.65969,0.74545,0.43528,1.48263,1.06258,1.3883,0.00385937,0.00385937,0.00385937
53,722.199,1.33254,1.01698,1.29054,0.76213,0.68459,0.75148,0.44125,1.44289,1.03009,1.36319,0.00381818,0.00381818,0.00381818
54,735.468,1.32896,1.00459,1.29146,0.80134,0.66145,0.76388,0.44632,1.44038,1.01376,1.36676,0.0037765,0.0037765,0.0037765
55,748.799,1.30986,0.99247,1.28372,0.75153,0.7052,0.75505,0.44403,1.41592,1.02574,1.34312,0.00373434,0.00373434,0.00373434
56,762.291,1.3091,0.99913,1.29002,0.75814,0.68728,0.7628,0.44819,1.44197,1.0075,1.36015,0.00369171,0.00369171,0.00369171
57,776.106,1.29643,0.99104,1.27454,0.78612,0.68996,0.76737,0.43059,1.52413,1.0335,1.37071,0.00364863,0.00364863,0.00364863
58,789.258,1.31376,0.99865,1.27302,0.78851,0.67832,0.77106,0.45258,1.4166,1.01151,1.35156,0.00360511,0.00360511,0.00360511
59,802.934,1.30346,0.9863,1.27808,0.76491,0.70251,0.75873,0.4516,1.42312,1.04005,1.35027,0.00356118,0.00356118,0.00356118
60,817.38,1.29498,0.99283,1.27407,0.76977,0.69982,0.76191,0.44611,1.45266,1.0262,1.35527,0.00351685,0.00351685,0.00351685
61,830.643,1.27275,0.97779,1.26106,0.75622,0.70882,0.77151,0.4497,1.47065,1.00598,1.37223,0.00347214,0.00347214,0.00347214
62,843.8,1.28039,0.96309,1.26239,0.77784,0.7043,0.77098,0.46483,1.39576,1.03005,1.33809,0.00342706,0.00342706,0.00342706
63,857.253,1.29112,0.97164,1.26344,0.78057,0.68214,0.76857,0.45304,1.42258,1.00689,1.34937,0.00338164,0.00338164,0.00338164
64,870.57,1.27366,0.96786,1.26572,0.77332,0.7052,0.78175,0.46269,1.4381,0.97763,1.34221,0.00333588,0.00333588,0.00333588
65,884.624,1.26883,0.94832,1.25082,0.79716,0.68728,0.77482,0.45379,1.44695,0.99568,1.34527,0.00328982,0.00328982,0.00328982
66,898.747,1.26682,0.95446,1.25737,0.77467,0.69621,0.77237,0.46611,1.41266,1.01579,1.33538,0.00324345,0.00324345,0.00324345
67,912.192,1.27089,0.95105,1.24994,0.77937,0.7027,0.77877,0.44633,1.47952,0.98425,1.35554,0.00319682,0.00319682,0.00319682
68,926.476,1.26931,0.95243,1.25612,0.76819,0.70968,0.78733,0.46981,1.37069,0.9579,1.31675,0.00314992,0.00314992,0.00314992
69,939.771,1.25888,0.94346,1.24671,0.76959,0.71057,0.77344,0.46184,1.38439,0.97316,1.33765,0.00310278,0.00310278,0.00310278
70,953.055,1.26103,0.94503,1.24669,0.78779,0.70521,0.7841,0.45599,1.44101,0.9847,1.33889,0.00305542,0.00305542,0.00305542
71,966.548,1.24554,0.93599,1.24153,0.75788,0.70682,0.77965,0.4718,1.38235,0.97194,1.31962,0.00300785,0.00300785,0.00300785
72,980.107,1.24687,0.92685,1.2366,0.77909,0.70161,0.78302,0.4834,1.33308,0.96877,1.31465,0.0029601,0.0029601,0.0029601
73,993.726,1.23891,0.93026,1.24397,0.77591,0.71774,0.78481,0.48151,1.34184,0.95182,1.30322,0.00291218,0.00291218,0.00291218
74,1007.37,1.23881,0.92786,1.23139,0.771,0.718,0.78455,0.47852,1.38306,0.94984,1.31754,0.00286411,0.00286411,0.00286411
75,1021.05,1.24241,0.91263,1.24127,0.80949,0.67652,0.76423,0.45415,1.43253,0.98589,1.34603,0.00281591,0.00281591,0.00281591
76,1034.65,1.23216,0.91802,1.2361,0.77019,0.72401,0.78405,0.48645,1.33186,0.95684,1.29829,0.00276759,0.00276759,0.00276759
77,1048.33,1.21718,0.89599,1.22429,0.77871,0.70317,0.77984,0.4784,1.35711,0.95147,1.30535,0.00271919,0.00271919,0.00271919
78,1061.65,1.22945,0.90173,1.23448,0.80674,0.7043,0.79105,0.4895,1.34394,0.94788,1.29872,0.00267071,0.00267071,0.00267071
79,1075.37,1.22104,0.90781,1.22368,0.78331,0.71057,0.78166,0.47419,1.3889,0.95637,1.32572,0.00262217,0.00262217,0.00262217
80,1088.62,1.21375,0.89755,1.21625,0.7798,0.71864,0.78548,0.48728,1.34578,0.92744,1.30399,0.00257359,0.00257359,0.00257359
81,1101.91,1.22085,0.8905,1.22274,0.79907,0.68419,0.78589,0.47986,1.38703,0.9493,1.30907,0.002525,0.002525,0.002525
82,1115.71,1.21723,0.88241,1.21236,0.78214,0.73656,0.7901,0.47748,1.40329,0.94951,1.32031,0.00247641,0.00247641,0.00247641
83,1128.98,1.21629,0.89798,1.22486,0.78224,0.73067,0.79028,0.47279,1.40061,0.95324,1.32353,0.00242783,0.00242783,0.00242783
84,1142.33,1.20085,0.87388,1.21136,0.79296,0.70968,0.78736,0.47427,1.39036,0.94931,1.33444,0.00237929,0.00237929,0.00237929
85,1156.53,1.19522,0.87088,1.21874,0.81866,0.72007,0.80097,0.49057,1.36003,0.90932,1.29727,0.00233081,0.00233081,0.00233081
86,1169.94,1.19541,0.85996,1.21244,0.81921,0.70609,0.78934,0.47966,1.39033,0.93404,1.32158,0.00228241,0.00228241,0.00228241
87,1183.51,1.1958,0.85535,1.21186,0.7903,0.70789,0.78753,0.49405,1.33752,0.91966,1.30909,0.00223409,0.00223409,0.00223409
88,1196.97,1.21001,0.86813,1.22011,0.79118,0.71774,0.79412,0.49136,1.35293,0.92332,1.30786,0.00218589,0.00218589,0.00218589
89,1210.52,1.19044,0.85841,1.2048,0.79714,0.72939,0.79556,0.49152,1.36009,0.9168,1.32103,0.00213782,0.00213782,0.00213782
90,1224.3,1.20628,0.86102,1.21884,0.77527,0.73262,0.79517,0.48328,1.3767,0.92168,1.32202,0.0020899,0.0020899,0.0020899
91,1238.73,1.20137,0.86097,1.20764,0.76245,0.74778,0.79781,0.48392,1.38267,0.91503,1.33293,0.00204215,0.00204215,0.00204215
92,1252.19,1.18017,0.85297,1.20487,0.77613,0.73297,0.79739,0.48041,1.39786,0.9136,1.33323,0.00199458,0.00199458,0.00199458
93,1265.25,1.17591,0.82986,1.19484,0.77903,0.73208,0.7911,0.48469,1.36499,0.90651,1.30973,0.00194722,0.00194722,0.00194722
94,1278.5,1.16798,0.83014,1.19324,0.78512,0.73477,0.80079,0.49941,1.33533,0.92037,1.29946,0.00190008,0.00190008,0.00190008
95,1292.07,1.1702,0.8341,1.19566,0.7909,0.72528,0.79887,0.49676,1.33413,0.90508,1.29524,0.00185318,0.00185318,0.00185318
96,1305.51,1.18034,0.84144,1.19961,0.79376,0.73112,0.79935,0.49843,1.31963,0.90575,1.29866,0.00180655,0.00180655,0.00180655
97,1319.09,1.17124,0.83379,1.19766,0.77994,0.73998,0.79629,0.4988,1.3361,0.8885,1.30662,0.00176018,0.00176018,0.00176018
98,1332.65,1.15268,0.80822,1.18806,0.79262,0.7329,0.79555,0.49082,1.34911,0.89587,1.30712,0.00171412,0.00171412,0.00171412
99,1345.94,1.15509,0.80865,1.17799,0.77832,0.73616,0.79387,0.49247,1.35744,0.89904,1.31193,0.00166836,0.00166836,0.00166836
100,1359.45,1.1679,0.82164,1.18467,0.78715,0.72401,0.79357,0.49057,1.3476,0.90394,1.31411,0.00162294,0.00162294,0.00162294
101,1372.78,1.15378,0.81272,1.18111,0.81778,0.71582,0.80176,0.50012,1.33963,0.89498,1.29738,0.00157786,0.00157786,0.00157786
102,1386.02,1.14771,0.80335,1.18217,0.80231,0.71774,0.79921,0.49998,1.31628,0.88769,1.28269,0.00153315,0.00153315,0.00153315
103,1399.38,1.14656,0.81074,1.18148,0.81872,0.71505,0.8001,0.49631,1.34026,0.89515,1.31311,0.00148882,0.00148882,0.00148882
104,1412.9,1.1327,0.80136,1.171,0.78392,0.73792,0.79577,0.4974,1.32134,0.90468,1.30474,0.00144489,0.00144489,0.00144489
105,1426.5,1.14022,0.78851,1.17113,0.7762,0.73477,0.8,0.49757,1.33893,0.90502,1.29905,0.00140137,0.00140137,0.00140137
106,1440.17,1.12826,0.7905,1.17193,0.81476,0.72127,0.80233,0.5063,1.32078,0.89412,1.29498,0.00135829,0.00135829,0.00135829
